#{"t_start": 1736966677.3145978, "env_id": "None"}
r,l,t
17.663329,412,2.832551
23.840262,378,4.486653
17.602522,444,6.313301
7.911975,400,8.060302
13.781572,346,9.791398
13.471946,370,12.405437
17.964562,440,14.228985
7.653376,290,15.81105
17.942697,406,17.587723
21.607918,275,19.265784
15.577717,390,21.843612
10.494385,454,23.639807
23.110267,294,25.332671
14.432816,330,27.041952
17.586452,417,28.872165
8.852351,554,31.776177
13.471352,460,33.54236
25.703627,312,35.230467
5.880061,298,36.91668
8.849448,413,38.734389
11.287977,433,40.595528
20.153073,227,43.113195
23.387651,282,44.796243
15.144525,337,46.542392
16.67073,377,48.341233
15.55827,350,50.105478
20.057978,503,52.034962
25.480796,320,54.706187
20.949241,236,56.358612
14.642416,337,58.103252
7.848399,434,59.972741
17.157877,356,61.743184
23.316307,257,63.405571
14.93835,364,66.088144
16.920728,331,67.784432
17.323607,416,69.59552
11.908849,399,71.391282
15.13812,410,73.165663
13.897908,374,75.806112
14.344792,319,77.502609
16.151336,415,79.346687
17.932855,509,81.238174
20.600197,198,82.849516
22.118133,231,84.47059
17.302727,446,87.191136
16.567256,323,88.90606
17.019185,455,90.776606
17.35411,393,92.558885
14.159122,401,94.340721
8.974987,500,97.136385
15.573705,295,98.79059
17.286833,423,100.620351
14.71905,403,102.409913
21.867822,448,104.24419
22.968524,248,105.891405
15.041914,368,108.554133
16.513137,371,110.333232
16.026618,426,112.169058
15.370063,401,113.961176
25.150277,267,115.636958
15.487684,406,118.388544
13.141328,345,120.1279
16.782954,364,121.880318
15.641246,385,123.621293
12.888766,344,125.371747
27.002853,298,127.085112
19.279383,180,129.49974
16.687396,319,131.225835
13.292113,358,132.987517
19.723728,177,134.578268
23.51757,224,136.204832
9.525137,383,137.996779
15.862469,372,139.774777
13.075229,376,142.465764
9.514169,407,144.251883
19.491519,364,146.037681
21.017522,192,147.641787
20.376722,223,149.259967
12.363904,280,150.929188
27.231233,598,153.889877
23.549356,232,155.510401
15.783092,359,157.263858
17.127393,331,159.006647
17.173556,368,160.784116
12.660032,359,162.535335
18.695415,321,165.219257
11.113561,293,166.900519
15.349494,350,168.664761
15.829446,367,170.409819
14.452186,338,172.14506
20.9639,176,173.726982
15.275677,339,175.469901
26.00829,486,178.243253
16.728881,414,180.058356
14.297469,417,181.881633
16.001262,315,183.610231
15.937842,329,185.326764
23.107254,197,187.811432
20.44046,424,189.589181
16.983783,349,191.357192
17.13352,394,193.135127
15.01321,302,194.831583
28.227652,335,196.561666
16.121906,308,199.195424
25.123122,263,200.792818
16.377695,370,202.544717
21.497477,182,204.113528
26.995764,297,205.820783
22.843882,194,207.409597
17.789208,345,209.159343
17.682356,337,211.791251
21.358763,169,213.363751
16.097111,359,215.114383
12.956326,369,216.886167
25.243468,239,218.501657
18.93382,361,220.281614
23.303921,196,221.861635
22.017856,177,223.43964
17.058043,397,226.132315
16.961648,366,227.889299
14.625395,303,229.579243
14.811865,336,231.30403
24.769741,215,232.916931
18.760357,325,234.645569
17.842671,296,237.193875
29.113488,358,238.943101
13.773159,373,240.701347
25.962704,224,242.344301
18.151738,319,244.068028
16.278952,377,245.850127
18.522158,299,247.556148
27.761596,244,250.111888
19.994545,165,251.664137
19.398066,143,253.191982
16.296683,289,254.873217
25.962708,227,256.509491
19.197428,161,258.085964
22.541607,180,259.673537
18.868685,386,261.445318
23.157996,204,263.012623
21.153582,159,265.426681
16.016449,342,267.139865
26.028733,294,268.824276
16.730018,371,270.582612
16.973753,390,272.379
21.029183,170,273.931692
17.370969,299,275.625543
16.101524,343,278.269315
15.586969,323,279.994404
25.231431,210,281.567913
18.173768,131,283.112197
16.565715,290,284.792844
14.683527,340,286.518928
16.489187,370,288.310569
15.398424,276,290.875075
26.989334,257,292.514849
17.471565,377,294.288417
22.585953,177,295.879912
26.019065,242,297.483073
16.808961,354,299.236746
14.649162,366,300.884365
18.030641,134,302.389934
16.426668,348,305.073507
16.602149,279,306.756757
23.139127,193,308.357875
22.414533,185,309.94766
23.127499,183,311.51159
24.114625,197,313.106825
17.855414,335,314.827288
24.29056,194,316.38917
20.959544,163,318.832128
18.27906,342,320.582945
16.533662,330,322.304199
24.478209,434,324.144691
27.02134,269,325.820532
27.419498,245,327.468791
18.203861,281,329.145384
26.453027,228,331.676382
19.227136,435,333.488687
18.959924,346,335.240056
17.268617,307,336.951372
18.038431,315,338.658507
20.664961,173,340.23941
14.806721,358,341.999557
22.385041,178,344.490959
23.237501,181,346.042105
18.486222,135,347.563565
15.163553,270,349.23713
17.658557,352,350.963016
27.927501,235,352.588656
17.627526,315,354.291324
23.540387,186,355.868229
17.340194,263,358.430285
16.746794,344,360.150708
16.837725,370,361.929805
15.191722,282,363.623044
21.998418,187,365.201645
21.458544,164,366.767359
17.276924,362,368.519234
17.292131,346,371.117109
19.405037,153,372.643238
22.523687,169,374.217264
27.338271,271,375.892886
18.005166,370,377.645133
20.496187,353,379.39214
17.868255,338,381.107641
17.67407,264,382.778892
18.218826,283,385.317241
26.957171,242,386.943097
23.135514,187,388.517099
19.03627,133,390.044935
23.979541,202,391.644492
19.657013,302,393.344788
16.719673,316,395.053437
22.32261,176,396.619336
25.704799,241,398.266676
25.516899,235,400.856259
24.197782,192,402.435607
19.375169,316,404.171898
24.126845,211,405.750348
19.282725,330,407.492062
17.559167,266,409.149925
26.436358,223,410.782186
17.696079,299,412.491944
21.593151,181,414.966246
17.644137,300,416.658781
19.038641,306,418.37668
20.994648,179,419.940579
23.549264,203,421.54639
18.819556,159,423.106028
25.628023,239,424.750323
20.950682,168,426.334134
24.033112,413,428.987864
21.444224,154,430.514368
21.997015,209,432.089463
27.438722,235,433.709034
20.659375,177,435.283617
19.280976,155,436.836938
22.434375,230,438.474811
21.714421,175,440.034512
23.706051,210,441.656289
20.130252,139,443.197998
17.300451,250,444.865335
18.389154,255,447.453161
19.94347,142,448.991635
18.415351,342,450.734917
19.282327,151,452.297133
23.374961,180,453.884694
19.541249,355,455.631076
24.8097,248,457.29297
11.705667,171,458.86165
19.033271,131,460.392933
20.170183,163,462.870779
17.974945,347,464.615097
19.674017,136,466.165119
21.782025,265,467.825329
22.963325,167,469.380162
20.143247,139,470.916415
17.916938,341,472.674242
20.999496,228,474.270865
21.158248,149,475.824958
14.357934,225,477.453018
24.614641,185,479.973793
14.075589,236,481.625136
26.100552,210,483.236585
20.14811,141,484.769352
20.363037,150,486.327472
25.550669,196,487.905802
27.219475,221,489.514858
21.526917,151,491.062683
22.414927,199,492.641739
26.252558,257,494.296246
20.639319,150,496.767654
21.3516,175,498.307143
22.035478,164,499.860417
16.831979,311,501.581545
21.13855,154,503.151671
26.703465,206,504.764792
24.782099,217,506.376269
21.51978,155,507.932908
18.191028,123,509.469619
22.012948,171,511.058367
18.130851,118,512.560338
17.215552,346,515.250307
23.313631,168,516.810522
22.408096,161,518.366003
22.8807,196,519.973382
27.346927,215,521.590602
17.979397,118,523.113796
20.950448,150,524.660191
16.957989,253,526.312173
25.534525,194,527.899445
18.834643,368,529.683674
22.295027,169,532.158802
21.3618,155,533.667253
22.994073,182,535.258551
26.425478,239,536.899843
18.95047,289,538.591048
22.409491,166,540.169202
25.078991,212,541.771631
18.892893,432,543.587322
25.470599,189,545.179963
20.122096,455,547.971768
26.71713,210,549.585814
21.327079,149,551.125226
24.792453,230,552.739729
22.985026,173,554.315936
19.791598,515,556.209489
27.225094,246,557.83605
20.177436,161,559.406432
20.115501,140,561.84967
17.000112,260,563.469469
25.100059,207,565.101186
18.293418,392,566.882861
22.127398,161,568.455091
18.354199,350,570.193409
18.981418,128,571.689441
18.370042,277,573.36743
23.951204,189,575.815373
25.102994,216,577.424537
21.062678,165,578.992266
17.390187,260,580.656308
20.335167,139,582.183198
26.812152,198,583.772643
27.057725,229,585.40482
27.043773,212,587.008073
20.373475,146,588.55868
27.058756,214,590.166305
21.11598,156,591.697398
23.18489,225,594.201547
18.412612,323,595.912088
24.237242,176,597.451244
16.271389,208,599.049148
21.015974,142,600.586437
17.893697,263,602.255536
27.786462,215,603.871114
27.951507,215,605.491801
24.930733,187,607.081611
18.98846,127,608.621697
18.839882,128,611.004741
20.393718,146,612.523358
18.959505,127,614.05625
28.226199,256,615.714214
18.148838,124,617.2499
26.082924,224,618.880528
24.967616,192,620.465605
26.718979,222,622.081647
23.920889,176,623.666616
26.231622,194,625.270911
18.153089,117,626.795063
23.755285,194,629.297964
18.211206,131,630.824601
25.538168,215,632.436338
23.067741,169,634.010759
23.376689,198,635.60643
22.362735,173,637.164887
17.355004,276,638.835935
18.845046,235,640.466202
23.96381,179,642.056264
23.022444,165,643.622761
20.090693,138,645.168612
21.093863,149,646.728268
19.747099,146,649.208955
26.995628,226,650.814854
25.933892,203,652.4383
23.191048,207,654.050138
26.045936,214,655.654103
15.339302,251,657.312516
25.108049,197,658.907046
17.111928,259,660.569486
16.209146,245,662.220935
24.026638,183,664.707097
18.179483,268,666.360783
25.617231,236,667.978019
22.09854,164,669.519108
26.407446,203,671.109791
24.969962,192,672.699124
26.070841,220,674.299297
23.815725,183,675.870053
22.911917,162,677.438635
27.022139,219,679.048213
25.083044,217,681.591089
20.17238,141,683.121435
17.141549,270,684.794361
19.359856,134,686.310859
19.35636,332,688.014496
25.152027,183,689.60317
22.095501,157,691.147806
19.12439,247,692.806328
18.471734,118,694.308588
18.900126,259,695.957139
23.227735,169,698.437581
22.563463,171,699.967354
28.277117,252,701.612938
19.72057,130,703.12306
22.031093,156,704.683448
27.10457,226,706.31676
22.036334,153,707.882486
27.301655,222,709.49827
24.975436,188,711.095918
26.027629,192,712.70276
21.936994,154,714.263148
17.596272,270,716.826387
26.700107,200,718.388302
26.843188,229,720.006853
25.068518,187,721.593183
22.439916,172,723.165593
15.985422,258,724.836001
23.715189,189,726.428655
26.844135,228,728.050039
25.968869,199,729.63901
24.453909,176,731.215911
21.032367,146,733.654869
26.839892,194,735.262094
26.992087,200,736.858842
27.018802,210,738.449372
18.831793,237,740.093717
28.234281,252,741.72355
19.436023,130,743.255981
22.577481,185,744.83617
25.594321,208,746.429448
24.633765,171,748.014286
23.00896,168,749.594072
18.235189,242,752.125382
23.710512,167,753.674623
24.286441,185,755.267185
19.240532,143,756.819499
19.259151,140,758.330968
21.799406,191,759.902022
19.371097,135,761.425323
19.707931,132,762.940396
24.520333,180,764.521496
18.196028,239,766.171445
24.80851,185,767.740217
26.989822,228,770.224349
27.001344,227,771.801717
16.486011,325,773.536275
17.009747,320,775.239037
17.993797,115,776.759107
18.278277,235,778.357935
21.679095,200,779.956809
22.414442,188,781.530433
17.7418,245,783.16526
22.393356,169,785.596944
22.897394,157,787.147347
16.481184,313,788.87121
15.590724,279,790.549877
17.033952,256,792.225637
18.175216,122,793.733842
20.343034,134,795.274753
16.557266,281,796.954941
28.692657,212,798.555138
23.293782,162,800.107101
23.007134,166,802.60199
25.017964,191,804.167122
19.964594,137,805.696047
18.968601,127,807.236979
18.863991,241,808.879203
16.856575,335,810.624953
23.961591,197,812.23031
18.247593,268,813.912466
19.003382,124,815.448512
17.170644,331,817.188868
23.684732,169,819.64109
24.104343,175,821.21009
22.0343,156,822.763793
21.487386,161,824.33567
24.738246,179,825.908157
22.275114,163,827.437839
25.999867,223,829.030442
22.869582,180,830.619931
25.946399,209,832.242877
25.096591,208,833.834528
17.009227,364,836.494647
25.054913,189,838.047191
18.996775,121,839.580472
26.019785,214,841.206486
18.029358,115,842.709002
22.893186,162,844.248999
20.939753,145,845.802233
23.992176,182,847.388662
18.169658,117,848.895324
21.898596,149,850.456977
17.967823,116,851.98789
21.967052,154,853.532201
23.996251,185,855.112042
20.386995,163,857.569926
23.817374,182,859.153895
17.517112,278,860.810068
25.485079,191,862.391673
25.990556,214,863.979926
22.023456,151,865.522837
17.849477,277,867.199717
26.208017,194,868.786922
24.986607,190,870.380182
22.553855,173,871.955861
21.100146,141,874.383319
20.155649,137,875.913134
29.062832,228,877.555527
26.069134,197,879.153642
26.85482,217,880.754383
17.992493,118,882.227089
23.199975,183,883.809392
20.918696,143,885.331817
18.804583,129,886.852776
20.164885,151,888.393713
24.47832,177,889.963613
26.981256,222,891.5973
26.255395,197,894.134923
25.259817,194,895.702108
23.987013,176,897.281176
23.178995,175,898.869255
27.082598,217,900.493297
23.262993,165,902.053996
18.944801,122,903.580652
26.447907,201,905.171101
21.47279,156,906.732284
19.751103,136,908.261293
25.970625,198,909.873122
24.793143,176,911.432235
23.822302,182,913.88114
20.643898,136,915.359248
20.940572,143,916.901209
20.388597,163,918.432081
21.109218,144,919.965823
17.934101,114,921.490183
18.144777,117,923.007542
17.259074,256,924.641084
26.20933,200,926.221441
18.518212,294,927.900817
22.114476,152,929.456618
27.334182,203,931.968524
16.72507,643,934.002479
28.252432,212,935.600302
22.034643,159,937.145991
18.288153,266,938.812637
26.058433,198,940.42248
21.568894,154,941.939319
28.288764,251,943.586204
24.222072,172,946.030363
22.576493,168,947.571569
23.861276,189,949.157995
26.064363,214,950.753631
21.025666,173,952.333282
21.135917,150,953.874053
23.997088,178,955.451558
25.523533,188,957.04628
21.721853,195,958.662369
25.634012,215,960.286276
21.012473,147,961.843127
23.76074,192,963.430966
25.691216,182,965.903351
27.430275,233,967.498995
19.99758,140,969.028484
24.244562,194,970.643909
20.393049,158,972.21705
27.351117,243,973.868713
20.160307,139,975.411688
22.589893,184,977.004133
18.975346,124,978.513164
23.993498,173,980.095791
26.380682,192,981.682283
21.722812,155,984.180896
25.986296,187,985.743104
15.347,222,987.342937
17.973905,115,988.856838
14.126152,269,990.530188
25.99821,187,992.126538
22.010564,166,993.690322
17.951719,115,995.208085
26.211862,198,996.787719
18.297658,318,998.489518
26.077757,210,1000.079964
20.390692,138,1002.481061
21.3404,146,1004.019399
25.554034,188,1005.612505
26.250956,202,1007.205264
14.353621,248,1008.854537
25.718707,201,1010.465911
24.968209,190,1012.059695
26.047815,188,1013.62747
16.767614,291,1015.325335
24.028473,175,1016.86757
26.419377,209,1019.343347
17.62925,273,1020.961846
22.369663,153,1022.50995
21.418498,150,1024.08002
23.472155,165,1025.656237
22.858669,160,1027.217864
26.213002,194,1028.816127
22.018325,159,1030.381905
24.219801,170,1031.922431
25.640382,190,1033.492713
21.956379,161,1035.034721
21.702284,191,1037.509647
23.957094,175,1039.046809
24.195038,185,1040.607385
21.937277,156,1042.170663
21.916077,152,1043.722656
22.879567,173,1045.276544
20.584223,139,1046.815122
19.726677,129,1048.35153
24.760551,195,1049.951814
24.556295,173,1051.527506
21.022129,143,1053.084004
26.209191,191,1054.685477
21.064603,154,1056.228787
26.050911,195,1058.69227
20.952531,147,1060.217387
21.016201,166,1061.787624
24.633191,201,1063.390286
24.090534,169,1064.95298
21.203167,166,1066.521263
25.10654,182,1068.103961
22.274265,157,1069.629531
19.73758,130,1071.168558
23.554121,185,1072.722135
19.721415,131,1074.257094
26.456894,217,1075.863769
18.144511,115,1078.313527
22.00519,169,1079.875289
26.996402,199,1081.430215
23.381683,177,1082.994715
24.781841,177,1084.564077
28.310559,225,1086.203253
24.252556,183,1087.770347
23.699584,168,1089.340254
24.262696,192,1090.935351
28.196593,209,1092.544706
21.986197,150,1094.102348
26.410035,204,1096.593959
21.190462,149,1098.135843
25.129025,179,1099.702936
19.79234,134,1101.239812
24.240252,174,1102.814693
20.114154,133,1104.357737
27.02379,213,1105.949381
25.116234,194,1107.558846
23.295225,180,1109.136629
26.027658,196,1110.716712
28.305438,232,1112.336704
19.745178,128,1113.868658
22.544303,154,1116.307952
26.101609,192,1117.857116
22.319573,151,1119.38748
21.076151,154,1120.945997
19.711383,137,1122.493279
27.628175,219,1124.124783
26.215403,194,1125.698472
18.856078,238,1127.344675
22.853311,174,1128.912394
19.977421,131,1130.419782
27.670908,217,1132.039425
27.919381,206,1134.48528
25.210246,181,1136.035446
21.496231,146,1137.569869
22.94411,160,1139.129557
18.152156,114,1140.654606
18.166889,119,1142.15599
27.589139,203,1143.73593
25.983035,208,1145.327907
19.293025,136,1146.872824
18.832311,130,1148.400514
20.648864,149,1149.953387
24.94161,184,1151.534818
24.97931,193,1153.128156
24.794645,173,1155.607598
27.932217,212,1157.154104
22.367572,154,1158.683441
24.482082,177,1160.261201
25.461313,180,1161.853227
24.755785,177,1163.415123
27.356946,209,1165.029943
18.893835,240,1166.682295
19.798721,140,1168.21077
28.149584,204,1169.827247
19.347005,126,1171.331965
27.09361,208,1173.786146
27.307343,196,1175.349312
22.51457,153,1176.903475
28.660273,223,1178.520412
26.092399,197,1180.117675
12.931878,188,1181.692807
26.007105,194,1183.280923
28.271123,206,1184.888249
25.485214,186,1186.470553
24.423038,173,1188.044377
22.880414,156,1189.605032
26.884656,190,1192.022308
21.717916,180,1193.570081
25.604747,198,1195.152489
24.971571,177,1196.71768
20.660177,138,1198.261807
28.225142,218,1199.895738
25.021053,177,1201.477637
23.501898,163,1203.033492
21.08629,142,1204.581321
25.62273,199,1206.188987
26.45569,204,1207.770042
19.746021,138,1209.294046
19.433082,140,1211.707217
20.985344,143,1213.215626
21.130727,144,1214.765428
19.752927,131,1216.304804
25.057861,177,1217.881249
18.970792,126,1219.415747
27.761157,202,1221.006892
22.320481,161,1222.560476
24.012561,172,1224.138751
25.126718,176,1225.69912
24.241381,181,1227.270293
26.996636,206,1228.877055
25.10402,176,1231.361392
24.13754,169,1232.925792
25.087054,181,1234.512938
22.593184,160,1236.078916
18.124992,316,1237.792976
22.276651,150,1239.334335
19.140595,124,1240.843464
18.848288,125,1242.365418
25.089325,178,1243.934559
23.255495,164,1245.49535
20.15222,137,1247.040947
18.154586,119,1248.542171
23.401491,174,1251.048825
26.460721,201,1252.619282
23.205747,186,1254.172095
26.46249,193,1255.727128
19.155616,132,1257.251354
26.010707,193,1258.825522
27.67627,221,1260.439929
24.020869,170,1261.988754
26.70476,203,1263.586684
18.955225,125,1265.112811
27.240469,204,1266.729033
15.032925,217,1269.244694
18.841776,125,1270.748106
22.02098,150,1272.305147
27.926299,212,1273.899127
24.203658,180,1275.482231
28.214693,207,1277.102498
23.694563,163,1278.669183
25.521253,189,1280.240735
19.366633,132,1281.770414
26.886971,194,1283.363706
28.190885,206,1284.976676
21.072676,149,1286.538239
25.951827,193,1288.993493
27.025255,209,1290.558602
26.087433,187,1292.15462
22.339411,160,1293.714498
26.693704,192,1295.308588
23.965551,177,1296.899055
24.734578,173,1298.48694
25.403341,180,1300.052588
28.134445,205,1301.658519
23.249155,161,1303.215835
18.753447,121,1304.727001
21.709173,162,1306.299185
26.029272,200,1308.798304
27.393623,206,1310.409714
19.695812,131,1311.952763
24.154971,177,1313.534604
23.025,163,1315.108383
22.873073,155,1316.655149
20.156329,139,1318.210126
27.313477,210,1319.823067
27.724529,207,1321.428812
19.774852,134,1322.971139
25.461804,182,1324.5499
23.234693,159,1326.114655
25.27789,180,1328.612006
24.160398,169,1330.182066
29.076761,215,1331.769152
26.874148,195,1333.365791
24.202222,179,1334.948331
20.604016,140,1336.497614
27.725258,211,1338.109795
23.285574,159,1339.67244
26.647777,192,1341.262906
22.960767,158,1342.811087
26.025636,195,1344.4138
19.122869,125,1346.789788
25.254382,186,1348.339103
26.981173,200,1349.847524
19.871061,270,1351.532566
27.304978,199,1353.136061
23.988081,169,1354.705643
19.701289,130,1356.218408
24.175866,172,1357.791365
26.019049,192,1359.39861
21.272803,141,1360.956356
25.19638,181,1362.516538
24.075601,169,1364.056087
27.012087,198,1366.562403
28.643464,216,1368.16562
18.471746,120,1369.692045
24.247691,184,1371.278886
25.985401,188,1372.860061
26.066561,189,1374.46047
24.037892,171,1376.041284
26.657017,194,1377.646623
26.703617,193,1379.248612
18.039855,111,1380.766243
19.115868,262,1382.441243
21.152333,154,1384.917409
26.977959,199,1386.500035
18.970625,121,1388.02693
25.140734,183,1389.614978
22.811261,159,1391.180443
23.123851,161,1392.74762
22.38926,153,1394.297062
24.211362,179,1395.865304
24.64609,179,1397.450845
23.274694,158,1399.008899
18.827708,124,1400.529713
25.136042,184,1402.102959
27.364699,201,1404.618686
27.434914,203,1406.187585
26.441649,194,1407.781122
19.766652,126,1409.298042
26.199473,190,1410.875867
24.288364,172,1412.442205
24.187407,173,1414.026693
20.398583,146,1415.593758
23.249602,161,1417.162142
20.312939,135,1418.707833
25.607569,181,1420.283592
21.16155,142,1421.830279
25.953751,185,1424.325292
21.076824,141,1425.842628
23.941032,169,1427.430895
19.421534,128,1428.96743
26.981785,203,1430.546991
23.861619,165,1432.084279
21.102195,146,1433.631072
20.953479,139,1435.177252
19.786687,130,1436.717805
18.17268,116,1438.237736
19.763284,137,1439.787573
21.319147,143,1441.314739
21.00952,146,1442.867261
21.113927,141,1444.393566
21.591278,152,1446.832374
21.173776,154,1448.37472
23.306486,164,1449.948936
23.985112,167,1451.51029
26.403722,195,1453.114962
17.991817,114,1454.637258
23.161975,178,1456.213957
25.232518,182,1457.802269
19.103433,121,1459.308171
21.318139,150,1460.854131
22.325851,152,1462.408475
28.267635,203,1464.003058
22.983245,159,1465.545723
20.97522,147,1467.979831
22.145139,150,1469.522657
23.546078,163,1471.065661
23.967121,167,1472.637518
18.026741,116,1474.136854
26.941653,197,1475.735246
23.263118,161,1477.302262
27.313976,208,1478.913584
18.461007,124,1480.450713
20.648721,136,1481.991884
28.260284,211,1483.598887
25.985927,186,1485.201099
24.009314,169,1487.638276
26.950171,199,1489.218604
22.106468,151,1490.767537
27.334836,195,1492.355301
25.973485,189,1493.907179
20.656023,136,1495.464965
22.44364,168,1497.033783
19.515887,240,1498.677757
23.984563,169,1500.234405
27.059618,202,1501.819275
20.3826,138,1503.35963
21.341544,148,1504.916394
27.731974,196,1507.442257
20.607509,138,1508.956676
28.655475,205,1510.54326
21.954492,156,1512.109984
25.059236,185,1513.706014
21.703196,151,1515.239448
26.099061,190,1516.80904
25.24539,177,1518.39513
26.968662,192,1519.976729
23.997663,169,1521.541363
